emotion,feature_id,eligible,conservative_effect_rank,coverage,cohen_d_all,cohen_d_implicit,conservative_cohen_d,coverage_joyful,cohen_d_joyful,coverage_excited,cohen_d_excited,coverage_content,cohen_d_content,discovery_auc,discovery_implicit_auc,discovery_joyful_auc,discovery_excited_auc,discovery_content_auc,heldout_auc,heldout_implicit_auc,heldout_joyful_auc,heldout_excited_auc,heldout_content_auc,natural_scale,rank_score,rank_score_rank
joy,6751,True,13,1.0,0.4589724838733673,0.4568656384944916,0.417568176984787,1.0,0.44262856245040894,1.0,0.5164793729782104,1.0,0.417568176984787,0.6339225042608694,0.6336384387642101,0.6285428571428571,0.6483853820598007,0.6248210707128543,0.6247057387057386,0.6232905982905983,0.5981391941391941,0.6605274725274726,0.6154505494505494,72.0,0.6882133211389413,11
joy,8940,True,10,0.7598398932621748,0.512944757938385,0.46123674511909485,0.42003434896469116,0.756,0.45747941732406616,0.716,0.42003434896469116,0.8076152304609219,0.6622646450996399,0.6430331184244646,0.6274197766434528,0.6272332225913622,0.6209142857142858,0.6810278364037043,0.6393553113553113,0.618307387057387,0.6045567765567765,0.6165787545787547,0.696930402930403,12.0,0.6852175975567322,12
joy,13911,True,18,1.0,0.652948796749115,0.7135518789291382,0.37373679876327515,1.0,0.5769225358963013,1.0,1.0185009241104126,1.0,0.37373679876327515,0.6805376341702885,0.69545861059184,0.6620239202657806,0.7671760797342192,0.6122763800025299,0.626014652014652,0.6283157814407814,0.5717948717948719,0.7296190476190477,0.5766300366300366,97.0,0.6803301434195588,13
joy,14193,True,16,0.6677785190126752,0.3980931341648102,0.37854325771331787,0.37854325771331787,0.646,0.3809202313423157,0.654,0.383588045835495,0.7034068136272545,0.4310815632343292,0.6064426117965689,0.600601816426618,0.5997920265780731,0.6015242524916945,0.6180347405775006,0.6013479853479854,0.5734126984126984,0.586901098901099,0.6209157509157508,0.5962271062271063,7.9375,0.66043628775773,14
joy,5399,True,22,1.0,0.4089391529560089,0.3422245383262634,0.3422245383262634,1.0,0.34688600897789,1.0,0.5331748723983765,1.0,0.3464013636112213,0.618554784030993,0.5995699466307642,0.5983740863787375,0.6563754152823921,0.6008794998635144,0.5988278388278389,0.5879464285714286,0.5746300366300366,0.6405421245421246,0.5813113553113552,47.25,0.6602295647818368,15
joy,12090,True,11,0.4603068712474983,0.6308016777038574,0.6867889165878296,0.4197691082954407,0.356,0.4197691082954407,0.39,0.4405796527862549,0.6352705410821643,0.9948124885559082,0.6508924000274823,0.6657713678732052,0.5928644518272425,0.6086239202657808,0.7513898228350387,0.67202442002442,0.6854357448107447,0.6125421245421245,0.5992893772893773,0.8042417582417583,11.0,0.6579536918299906,16
joy,11700,True,9,0.3315543695797198,0.4972954988479614,0.4900818169116974,0.44217362999916077,0.298,0.44217362999916077,0.376,0.5555717945098877,0.32064128256513025,0.5030182600021362,0.6113154062841452,0.6080076453932309,0.595504318936877,0.6309182724252491,0.6075160287352112,0.6465665445665446,0.6269993894993896,0.6382417582417583,0.6298241758241758,0.6716336996336997,7.71875,0.6566358595652916,17
joy,10457,True,24,0.71447631754503,0.41198867559432983,0.33488428592681885,0.32722246646881104,0.696,0.35840684175491333,0.658,0.32722246646881104,0.7895791583166333,0.5632033944129944,0.6146392168422359,0.5913866638254732,0.6012239202657808,0.5870212624584717,0.6557546987663034,0.5924371184371184,0.555982905982906,0.564007326007326,0.5781758241758241,0.6351282051282052,9.5,0.6484851841426953,18
joy,12882,True,15,0.3115410273515677,0.43052318692207336,0.41782626509666443,0.40366873145103455,0.38,0.4680022597312927,0.298,0.40366873145103455,0.2565130260521042,0.42806828022003174,0.6084259938519367,0.5869295416315554,0.6427355481727575,0.5999202657807309,0.5825704565276734,0.6147741147741147,0.5862828144078144,0.6267912087912089,0.6288058608058608,0.5887252747252747,11.4375,0.643413055912867,19
joy,10746,True,35,0.3709139426284189,0.4847910702228546,0.5006886720657349,0.27867385745048523,0.318,0.4291515350341797,0.518,0.7237525582313538,0.27655310621242485,0.27867385745048523,0.6298597736253848,0.641204084861282,0.603441196013289,0.70621926910299,0.579818773760145,0.6294725274725275,0.6380570818070818,0.6074212454212453,0.6918388278388279,0.5891575091575092,9.375,0.6428047511226835,20
